Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
09/03/2023,1993,0,1993,766,72,0,72,1,0,1,0,0,0,0,0,0,0.03662819869543402,0.0,0.03662819869543402
09/04/2023,3553,0,3553,1841,58,0,58,11,0,11,28,0,28,0,0,0,0.02730087250211089,0.0,0.02730087250211089
09/05/2023,3465,0,3465,1751,34,0,34,20,0,20,42,0,42,0,0,0,0.027705627705627706,0.0,0.027705627705627706
09/06/2023,2979,0,2979,1459,22,0,22,22,0,22,33,0,33,0,0,0,0.025847599865726753,0.0,0.025847599865726753
09/07/2023,1445,0,1445,660,7,0,7,2,0,2,0,0,0,0,0,0,0.006228373702422145,0.0,0.006228373702422145
09/08/2023,1164,0,1164,518,13,0,13,2,0,2,0,0,0,0,0,0,0.01288659793814433,0.0,0.01288659793814433
09/09/2023,1348,0,1348,480,30,0,30,2,0,2,0,0,0,0,0,0,0.02373887240356083,0.0,0.02373887240356083
09/10/2023,1308,0,1308,510,32,0,32,1,0,1,0,0,0,0,0,0,0.02522935779816514,0.0,0.02522935779816514
09/11/2023,2670,0,2670,1353,69,0,69,33,0,33,68,0,68,0,0,0,0.06367041198501873,0.0,0.06367041198501873
09/12/2023,2585,0,2585,1507,25,0,25,32,0,32,34,0,34,0,0,0,0.035203094777562866,0.0,0.035203094777562866
09/13/2023,1012,0,1012,646,3,0,3,9,0,9,0,0,0,0,0,0,0.011857707509881422,0.0,0.011857707509881422
09/14/2023,486,0,486,332,1,0,1,1,0,1,0,0,0,0,0,0,0.00411522633744856,0.0,0.00411522633744856
09/15/2023,406,0,406,252,4,0,4,0,0,0,0,0,0,0,0,0,0.009852216748768473,0.0,0.009852216748768473
09/16/2023,404,0,404,256,6,0,6,0,0,0,0,0,0,0,0,0,0.01485148514851485,0.0,0.01485148514851485
09/17/2023,744,0,744,356,12,0,12,-1,0,-1,0,0,0,0,0,0,0.01478494623655914,0.0,0.01478494623655914
09/18/2023,1814,0,1814,1010,10,0,10,27,0,27,56,0,56,0,0,0,0.051267916207276734,0.0,0.051267916207276734
09/19/2023,4189,0,4189,2376,65,0,65,17,0,17,9,0,9,0,0,0,0.021723561709238483,0.0,0.021723561709238483
09/20/2023,2054,0,2054,1015,23,0,23,8,0,8,-1,0,-1,0,0,0,0.014605647517039922,0.0,0.014605647517039922
09/21/2023,1138,0,1138,635,5,0,5,0,0,0,0,0,0,0,0,0,0.004393673110720563,0.0,0.004393673110720563
09/22/2023,1025,0,1025,529,7,0,7,0,0,0,0,0,0,0,0,0,0.006829268292682927,0.0,0.006829268292682927
09/23/2023,581,0,581,303,9,0,9,2,0,2,0,0,0,0,0,0,0.0189328743545611,0.0,0.0189328743545611
09/24/2023,473,0,473,232,20,0,20,0,0,0,0,0,0,0,0,0,0.042283298097251586,0.0,0.042283298097251586
09/25/2023,539,0,539,296,11,0,11,0,0,0,-5,0,-5,0,0,0,0.011131725417439703,0.0,0.011131725417439703
09/26/2023,2378,0,2378,1571,23,0,23,21,0,21,25,0,25,0,0,0,0.029015979814970564,0.0,0.029015979814970564
09/27/2023,1137,0,1137,673,6,0,6,2,0,2,0,0,0,0,0,0,0.007036059806508356,0.0,0.007036059806508356
09/28/2023,2201,0,2201,1316,10,0,10,15,0,15,12,0,12,0,0,0,0.016810540663334848,0.0,0.016810540663334848
09/29/2023,847,0,847,465,13,0,13,1,0,1,0,0,0,0,0,0,0.01652892561983471,0.0,0.01652892561983471
09/30/2023,1081,0,1081,438,35,0,35,-1,0,-1,-1,0,-1,0,0,0,0.030527289546716005,0.0,0.030527289546716005
10/01/2023,844,0,844,357,31,0,31,1,0,1,0,0,0,0,0,0,0.037914691943127965,0.0,0.037914691943127965
10/02/2023,1854,0,1854,1200,19,0,19,22,0,22,20,0,20,0,0,0,0.03290183387270766,0.0,0.03290183387270766
10/03/2023,2520,0,2520,1395,2,0,2,17,0,17,8,0,8,1,0,1,0.011111111111111112,0.0,0.011111111111111112
10/04/2023,1789,0,1789,1062,2,0,2,14,0,14,21,0,21,0,0,0,0.02068194522079374,0.0,0.02068194522079374
10/05/2023,2001,0,2001,1017,5,0,5,16,0,16,5,0,5,3,0,3,0.014492753623188406,0.0,0.014492753623188406
10/06/2023,854,0,854,415,5,0,5,1,0,1,0,0,0,0,0,0,0.00702576112412178,0.0,0.00702576112412178
10/07/2023,584,0,584,210,4,0,4,0,0,0,0,0,0,0,0,0,0.00684931506849315,0.0,0.00684931506849315
10/08/2023,415,0,415,201,4,0,4,2,0,2,0,0,0,0,0,0,0.014457831325301205,0.0,0.014457831325301205
10/09/2023,1782,0,1782,1137,7,0,7,24,0,24,8,0,8,0,0,0,0.021885521885521887,0.0,0.021885521885521887
10/10/2023,1796,0,1796,1226,20,0,20,19,0,19,6,0,6,0,0,0,0.02505567928730512,0.0,0.02505567928730512
10/11/2023,1684,0,1684,978,15,0,15,13,0,13,6,0,6,0,0,0,0.020190023752969122,0.0,0.020190023752969122
10/12/2023,754,0,754,374,0,0,0,4,0,4,0,0,0,0,0,0,0.005305039787798408,0.0,0.005305039787798408
10/13/2023,501,0,501,251,0,0,0,2,0,2,0,0,0,0,0,0,0.003992015968063872,0.0,0.003992015968063872
10/14/2023,710,0,710,332,5,0,5,3,0,3,0,0,0,0,0,0,0.011267605633802818,0.0,0.011267605633802818
10/15/2023,622,0,622,285,10,0,10,4,0,4,0,0,0,0,0,0,0.022508038585209004,0.0,0.022508038585209004
10/16/2023,2197,0,2197,1259,34,0,34,23,0,23,20,0,20,0,0,0,0.03504779244424215,0.0,0.03504779244424215
10/17/2023,3617,0,3617,1676,31,0,31,23,0,23,11,0,11,0,0,0,0.017970693945258503,0.0,0.017970693945258503
