Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
05/18/2023,130,262,392,64,79,142,0,0,0,0,0,0,20,12,32,19,10,29,166,317,483,64,79,142
05/19/2023,128,358,486,77,104,181,0,0,0,0,0,0,29,27,56,24,19,42,176,433,609,77,105,181
05/20/2023,20,0,20,14,0,14,0,0,0,0,0,0,5,21,26,5,13,18,28,21,49,14,13,27
05/21/2023,36,133,169,19,42,61,0,0,0,0,0,0,10,10,20,9,8,17,53,160,213,19,42,61
05/22/2023,140,0,140,84,0,84,0,0,0,0,0,0,28,10,38,26,10,36,185,10,195,84,10,94
05/23/2023,215,0,215,104,0,104,0,0,0,0,0,0,49,23,72,44,14,58,305,23,328,104,14,118
05/24/2023,157,604,761,80,177,252,0,0,0,0,0,0,31,34,65,26,30,56,228,747,975,80,178,253
05/25/2023,204,510,714,106,144,247,0,0,0,0,0,0,30,17,47,27,12,39,265,609,874,107,145,249
05/26/2023,169,364,533,69,95,164,0,0,0,0,0,0,27,22,49,24,16,40,224,429,653,70,95,165
05/27/2023,52,270,322,30,78,108,0,0,0,0,0,0,17,9,26,15,8,23,77,315,392,32,78,110
05/28/2023,36,200,236,23,65,88,0,0,0,0,0,0,9,16,25,9,15,24,51,245,296,23,65,88
05/29/2023,144,381,525,85,133,218,0,0,0,0,0,0,27,22,49,22,18,40,197,460,657,86,133,219
05/30/2023,146,414,560,71,112,181,0,0,0,0,0,0,30,11,41,29,10,39,203,474,677,71,113,182
05/31/2023,184,439,623,109,144,251,0,0,0,0,0,0,40,20,60,39,20,59,256,529,785,109,144,251
06/01/2023,151,360,511,88,115,198,0,0,0,0,0,0,31,20,51,27,16,42,207,439,646,88,115,198
06/02/2023,169,440,609,101,135,233,0,0,0,0,0,0,35,14,49,31,13,44,232,532,764,102,136,234
06/03/2023,48,262,310,26,66,90,0,0,0,0,0,0,11,5,16,11,3,14,68,296,364,26,66,90
06/04/2023,49,0,49,26,0,26,0,0,0,0,0,0,5,14,19,5,11,16,60,14,74,26,11,37
06/05/2023,125,323,448,76,110,185,0,0,0,0,0,0,29,8,37,28,7,35,171,372,543,76,110,185
